date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2015-12,25.19,25.25,0.06376689189189196,0.025172553796183557,0.05737964437652707,0.0385943380957084,0.00638724751536489
2016-01,25.23,25.37,0.05212677231025855,0.02546483427647545,0.039751747283314764,0.0266619380337831,0.012375025026943784
2016-02,25.27,25.38,0.057322175732217616,0.023799919322307378,0.04884939994209091,0.03352225640991024,0.008472775790126707
2016-03,25.11,25.45,0.0316351684470008,0.024144869215291662,0.02271900748147883,0.00749029923170914,0.008916160965521974
2016-04,25.25,25.53,0.03952243721696175,0.025713137806347954,0.027796179713427016,0.013809299410613794,0.011726257503534733
2016-05,25.08,25.58,0.02409146590445079,0.024429315178213836,0.013306701283204539,-0.00033784927376304466,0.010784764621246253
2016-06,25.06,25.62,0.0266284309709135,0.026031237484982064,0.015835565622954056,0.0005971934859314368,0.010792865347959445
2016-07,25.12,25.69,0.01494949494949499,0.027189124350259882,0.00626586151897663,-0.012239629400764892,0.00868363343051836
2016-08,25.17,25.71,0.014101531023368308,0.02430278884462149,0.0035483724277114003,-0.010201257821253182,0.010553158595656907
2016-09,25.11,25.77,0.009244372990353715,0.026284348864994034,-0.0062420732112984986,-0.017039975874640317,0.015486446201652213
2016-10,25.37,25.9,0.009952229299363057,0.027777777777777752,-0.006907020363073413,-0.017825548478414693,0.01685924966243647
2016-11,25.24,25.9,0.0031796502384737,0.025742574257425686,-0.013663684481315283,-0.022562924018951984,0.016843334719788983
2016-12,25.37,25.93,0.007145692735212374,0.02693069306930692,-0.01336229637990745,-0.019785000334094548,0.020507989115119824
2017-01,25.48,26.0,0.009908838684106223,0.024832479306267204,-0.015195094798464967,-0.014923640622160981,0.02510393348257119
2017-02,25.52,26.07,0.009893153937475268,0.027186761229314474,-0.018210462875818914,-0.017293607291839208,0.02810361681329418
2017-03,25.51,26.11,0.015929908403026768,0.025933202357563856,-0.008482053962564559,-0.010003293954537088,0.024411962365591327
2017-04,25.55,26.18,0.011881188118811909,0.025460242851547143,-0.009881046600341961,-0.013579054732735234,0.02176223471915387
2017-05,25.38,26.21,0.011961722488038307,0.024628616106333174,-0.006601709179581519,-0.012666893618294867,0.018563431667619826
2017-06,25.78,26.26,0.028731045490822126,0.02498048399687746,0.012325387391230905,0.003750561493944666,0.01640565809959122
2017-07,25.81,26.35,0.027468152866241945,0.025690930323082915,0.010217079359675977,0.00177722254315903,0.01725107350656597
2017-08,25.73,26.37,0.02224870878029395,0.02567094515752626,0.0029674932073242115,-0.00342223637723231,0.01928121557296974
2017-09,25.91,26.49,0.0318598168060534,0.027939464493597164,0.010054164502341523,0.003920352312456233,0.021805652303711873
2017-10,25.88,26.5,0.02010248324793055,0.023166023166023224,-0.00010509428339425947,-0.0030635399180926753,0.020207577531324808
2017-11,25.81,26.54,0.022583201267828857,0.024710424710424735,0.0008582626248732211,-0.0021272234425958776,0.021724938642955636
2017-12,25.84,26.63,0.01852581789515171,0.026995757809487052,-0.0027734893003708468,-0.008469939914335343,0.021299307195522556
2018-01,25.85,26.72,0.014521193092621704,0.027692307692307648,-0.006991995588017715,-0.013171114599685944,0.02151318868063942
2018-02,25.62,26.74,0.003918495297805699,0.025700038358266137,-0.01871619401311287,-0.02178154306046044,0.022634689310918568
2018-03,25.64,26.85,0.005096040768326107,0.028341631558789812,-0.018213456878173172,-0.023245590790463705,0.02330949764649928
2018-04,25.64,26.91,0.0035225048923679006,0.027883880825057314,-0.021187458128685083,-0.024361375932689413,0.024709963021052984
2018-05,25.59,26.98,0.008274231678487032,0.029378099961846607,-0.01954498439993796,-0.021103868283359577,0.02781921607842499
2018-06,25.52,27.03,-0.010085337470907741,0.029322162985529303,-0.038160844406848034,-0.039407500456437046,0.02807550693594029
2018-07,25.61,27.1,-0.007748934521503266,0.028462998102466792,-0.036290182377122476,-0.03621193262397006,0.028541247855619213
2018-08,25.59,27.21,-0.005441119315973594,0.03185437997724686,-0.0318703578847162,-0.03729549929322046,0.026429238568742606
2018-09,25.71,27.32,-0.0077190274025472514,0.0313325783314459,-0.031039578460635535,-0.03905160573399315,0.023320551058088283
2018-10,25.58,27.37,-0.01159196290571873,0.03283018867924532,-0.036512287607899305,-0.044422151584964056,0.024920324702180575
2018-11,25.8,27.44,-0.0003874467260750876,0.033911077618688855,-0.021860732502752927,-0.03429852434476394,0.02147328577667784
2018-12,25.77,27.56,-0.0027089783281733855,0.03492301915133307,-0.0227327873715744,-0.037631997479506456,0.020023809043401015
2019-01,25.75,27.59,-0.0038684719535783912,0.032559880239521,-0.018744365531869703,-0.03642835219309939,0.014875893578291314
2019-02,25.97,27.69,0.013661202185792266,0.03552729992520579,-0.0015274131655295935,-0.021866097739413524,0.01518861535132186
2019-03,25.91,27.77,0.010530421216848657,0.03426443202979509,-0.008301442296215404,-0.023734010812946432,0.01883186351306406
2019-04,25.95,27.79,0.012090483619344724,0.03270159791898919,-0.00791535108274578,-0.020611114299644465,0.020005834702090504
2019-05,26.05,27.88,0.017975771785853883,0.03335804299481092,1.6666232247743856e-05,-0.015382271208957035,0.01795910555360614
2019-06,26.25,27.97,0.02860501567398121,0.034776174620791626,0.011893066730080799,-0.006171158946810418,0.01671194894390041
2019-07,25.9,28.03,0.011323701679031595,0.03431734317343172,-0.006939611671338981,-0.022993641494400127,0.018263313350370576
2019-08,26.28,28.14,0.026963657678780825,0.03417861080485115,0.009587245572114409,-0.007214953126070324,0.017376412106666416
2019-09,26.41,28.16,0.02722676001555812,0.030746705710102483,0.010381782975166582,-0.003519945694544363,0.016844977040391538
2019-10,26.51,28.24,0.03635652853792038,0.03178662769455599,0.019016791541734166,0.004569900843364394,0.017339736996186215
2019-11,26.64,28.34,0.032558139534883714,0.03279883381924193,0.011635235586254587,-0.00024069428435821716,0.020922903948629126
2019-12,26.8,28.38,0.039968956150562715,0.029753265602322217,0.01677368145093816,0.010215690548240498,0.023195274699624555
2020-01,27.04,28.43,0.05009708737864074,0.03044581370061616,0.024099407610188753,0.01965127367802458,0.02599767976845199
2020-02,27.06,28.54,0.04197150558336542,0.030697002527988366,0.018558338785770245,0.011274503055377052,0.023413166797595173
2020-03,27.33,28.73,0.05480509455808561,0.03456967951026291,0.03986469491517636,0.020235415047822704,0.01494039964290925
2020-04,29.07,30.04,0.12023121387283241,0.08096437567470313,0.11710074093242118,0.039266838198129275,0.003130472940411225
2020-05,29.39,29.72,0.12821497120921305,0.06599713055954089,0.12623295817336447,0.06221784064967216,0.0019820130358485844
2020-06,28.48,29.38,0.08495238095238097,0.050411154808723636,0.07778581812055038,0.03454122614365734,0.007166562831830586
2020-07,28.38,29.39,0.09575289575289578,0.048519443453442716,0.08578424812699768,0.04723345229945306,0.00996864762589809
2020-08,28.49,29.49,0.08409436834094358,0.04797441364605536,0.07128366984541962,0.03611995469488822,0.012810698495523961
2020-09,28.51,29.51,0.07951533510034084,0.04794034090909096,0.06560510618796707,0.03157499419124988,0.013910228912373776
2020-10,28.6,29.54,0.0788381742738589,0.04603399433427765,0.06653431084518731,0.032804179939581256,0.012303863428671596
2020-11,29.4,29.64,0.10360360360360353,0.045871559633027546,0.0918461514651976,0.057732043970575984,0.011757452138405927
2020-12,29.52,29.91,0.10149253731343279,0.05391120507399581,0.08828834599765341,0.047581332239436974,0.013204191315779377
2021-01,29.32,29.93,0.08431952662721898,0.05276116778051354,0.07058108949021664,0.03155835884670544,0.013738437137002327
2021-02,30.11,30.05,0.11271249076127128,0.05290819901892087,0.0960143229695644,0.05980429174235041,0.016698167791706877
2021-03,30.1,30.03,0.10135382363702902,0.04524886877828057,0.07467563581638709,0.05610495485874845,0.026678187820641942
2021-04,30.51,30.22,0.04953560371517032,0.005992010652463373,0.008204832561564547,0.04354359306270695,0.041330771153605776
2021-05,30.6,30.41,0.041170466144947286,0.02321668909825038,-0.008012104749729021,0.017953777046696907,0.04918257089467631
2021-06,30.56,30.54,0.07303370786516848,0.03948264125255276,0.020077381661668565,0.03355106661261572,0.052956326203499916
2021-07,30.7,30.66,0.08174770965468642,0.04321197686287852,0.029296015841594025,0.0385357327918079,0.05245169381309239
2021-08,30.75,30.78,0.07932607932607938,0.04374364191251281,0.02780592630813982,0.03558243741356657,0.05152015301793956
2021-09,30.61,30.98,0.07365836548579438,0.04981362250084713,0.02014620957630308,0.02384474298494725,0.0535121559094913
2021-10,30.53,31.14,0.06748251748251746,0.05416384563304,0.005132093579536916,0.013318671849477465,0.06235042390298055
2021-11,30.29,31.23,0.030272108843537437,0.05364372469635627,-0.038747595193471276,-0.02337161585281883,0.06901970403700872
2021-12,30.11,31.39,0.01998644986449864,0.04948177866934137,-0.05175695298615682,-0.029495328804842732,0.07174340285065546
2022-01,30.09,31.6,0.026261937244201894,0.055796859338456455,-0.04932612002547644,-0.02953492209425456,0.07558805726967834
2022-02,29.95,31.64,-0.0053138492195284005,0.05291181364392678,-0.08468663688470655,-0.05822566286345518,0.07937278766517815
2022-03,30.06,31.8,-0.0013289036544851395,0.05894105894105892,-0.08705095331462366,-0.06026996259554406,0.08572204966013852
2022-04,29.64,31.96,-0.028515240904621465,0.0575777630708141,-0.11083274861239376,-0.08609300397543557,0.0823175077077723
2022-05,29.52,32.1,-0.035294117647058885,0.05557382439986851,-0.12067582960347945,-0.09086794204692739,0.08538171195642057
2022-06,29.5,32.19,-0.03468586387434551,0.05402750491159131,-0.1244794749054036,-0.08871336878593683,0.0897936110310581
2022-07,29.48,32.34,-0.039739413680781724,0.05479452054794531,-0.12436518095808279,-0.09453393422872704,0.08462576727730106
2022-08,29.53,32.44,-0.03967479674796744,0.05393112410656259,-0.12190058853015581,-0.09360592085453004,0.08222579178218836
2022-09,29.53,32.57,-0.03528258738974186,0.051323434473854096,-0.11720365635400007,-0.08660602186359595,0.0819210689642582
2022-10,29.5,32.7,-0.033737307566328235,0.05009633911368023,-0.11132544714325823,-0.08383364668000846,0.07758813957693
2022-11,29.58,32.82,-0.02344007923407068,0.050912584053794424,-0.0946686437994105,-0.0743526632878651,0.07122856456533982
2022-12,29.75,32.94,-0.011956160743938873,0.04937878305192727,-0.07600216476751047,-0.06133494379586614,0.06404600402357159
2023-01,29.87,33.02,-0.007311399135925519,0.044936708860759546,-0.07058318431552653,-0.05224810799668506,0.06327178517960101
2023-02,29.63,33.15,-0.010684474123539242,0.04772439949431093,-0.07026268150491002,-0.058408873617850174,0.05957820738137078
